"TRE ACR Report"
"PORTFOLIO","POS_CUR_PAR","POS_DATE","POS_FACE","MKT_PRICE","SOURCE","CLIENT_SEC_TYPE","SEC_CURRENCY","CLIENT_ID","BOOK_TYPE","BOOK_PRICE","BOOK_FX_RATE","BOOK_VALUE","BOOK_DATE","BOOK_TYPE_2","BOOK_PRICE_2","BOOK_VALUE_2","BOOK_DATE_2","BOOK_TYPE_3","BOOK_PRICE_3","BOOK_VALUE_3","BOOK_DATE_3","BOOK_YIELD","BOOK_YIELD_2","BOOK_YIELD_3","STRATEGY"
"JPDACRTRE","100,871,369.00","06/02/2020","100,871,369.00","100.081032900000000","ACR","LOAN","USD","ACR006364","","","","","","","","","","","","","","","","",""
"JPDACRTRE","12,001,544.00","06/02/2020","12,001,544.00","100.061071900000000","ACR","LOAN","USD","ACR006380","","","","","","","","","","","","","","","","",""
"USDACRTRE","6,865,844.00","06/02/2020","6,865,844.00","100.061085600000000","ACR","LOAN","USD","ACR006381","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","","ACR","LOAN","USD","ACR006384","","","","","","","","","","","","","","","","",""
"JPDACRTRE","36,256,838.71","06/02/2020","38,000,000.00","100.036006300000000","ACR","LOAN","USD","ACR006393","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","9,959,872.42","","ACR","LOAN","USD","ACR006396","","","","","","","","","","","","","","","","",""
"USDACRTRE","10,000,000.00","06/02/2020","10,000,000.00","100.078452300000000","ACR","LOAN","USD","ACR006407","","","","","","","","","","","","","","","","",""
"JPDACRTRE","31,010,508.24","06/02/2020","35,029,800.00","98.689971530000000","ACR","LOAN","USD","ACR006439","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","51,799.75","","ACR","LOAN","USD","ACR006449","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","6,069,882.47","","ACR","LOAN","USD","ACR006471","","","","","","","","","","","","","","","","",""
"JPDACRTRE","77,750,972.33","06/02/2020","85,783,000.00","100.069172300000000","ACR","LOAN","USD","ACR006473","","","","","","","","","","","","","","","","",""
"USDACRTRE","8,631,292.75","06/02/2020","9,750,000.00","98.691125920000000","ACR","LOAN","USD","ACR006610","","","","","","","","","","","","","","","","",""
"JPDACRTRE","795,141.50","06/02/2020","898,200.00","98.719992000000000","ACR","LOAN","USD","ACR006611","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","105,705.05","100.000000000000000","ACR","LOAN","USD","ACR006632","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","15,010.30","100.000000000000000","ACR","LOAN","USD","ACR006633","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","1,328.20","","ACR","LOAN","USD","ACR006636","","","","","","","","","","","","","","","","",""
"USDACRTRE","9,128,631.00","06/02/2020","9,128,631.00","100.081059500000000","ACR","LOAN","USD","ACR006651","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.01","06/02/2020","9,628,631.00","","ACR","LOAN","USD","ACR006655","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.01","06/02/2020","871,369.00","","ACR","LOAN","USD","ACR006656","","","","","","","","","","","","","","","","",""
"USDACRTRE","211,918.16","06/02/2020","212,500.00","99.853865620000000","ACR","LOAN","USD","ACR006661","","","","","","","","","","","","","","","","",""
"JPDACRTRE","40,000,000.00","06/02/2020","40,000,000.00","100.078384500000000","ACR","LOAN","USD","ACR006683","","","","","","","","","","","","","","","","",""
"USDACRTRE","8,264,808.24","06/02/2020","8,287,500.00","99.833419700000000","ACR","LOAN","USD","ACR006685","","","","","","","","","","","","","","","","",""
"JPDACRTRE","1,178,015.66","06/02/2020","1,181,250.00","99.853981260000000","ACR","LOAN","USD","ACR006686","","","","","","","","","","","","","","","","",""
"USDACRTRE","221,314.96","06/02/2020","250,000.00","98.713063360000000","ACR","LOAN","USD","ACR006779","","","","","","","","","","","","","","","","",""
"JPDACRTRE","33,377,317.06","06/02/2020","33,357,675.00","100.063070500000000","ACR","LOAN","USD","ACR006800","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","1,201,896.08","","ACR","LOAN","USD","ACR006807","","","","","","","","","","","","","","","","",""
"USDACRTRE","5,000,000.00","06/02/2020","5,000,000.00","99.961192850000000","ACR","LOAN","USD","ACR006940","","","","","","","","","","","","","","","","",""
"JPDACRTRE","33,475,140.38","06/02/2020","33,939,560.00","100.042319500000000","ACR","LOAN","USD","ACR007033","","","","","","","","","","","","","","","","",""
"USDACRTRE","9,429,617.62","06/02/2020","9,560,440.00","100.042232500000000","ACR","LOAN","USD","ACR007043","","","","","","","","","","","","","","","","","FHLA26"
"JPDACRTRE","120,192,066.37","06/02/2020","123,000,000.00","102.071272000000000","ACR","LOAN","USD","ACR007124","","","","","","","","","","","","","","","","",""
"JPDACRTRE","862,681.70","06/02/2020","855,325.00","100.000000000000000","ACR","LOAN","USD","ACR007128","","","","","","","","","","","","","","","","",""
"JPDACRTRE","101,796,175.21","06/02/2020","124,953,000.00","100.133961300000000","ACR","LOAN","USD","ACR007145","","","","","","","","","","","","","","","","",""
"JPDACRTRE","28,566,461.53","06/02/2020","33,000,000.00","100.133013400000000","ACR","LOAN","USD","ACR007200","","","","","","","","","","","","","","","","",""
"JPDACRTRE","92,206,601.63","06/02/2020","105,200,000.00","100.020369100000000","ACR","LOAN","USD","ACR007258","","","","","","","","","","","","","","","","",""
